ID,VOLA_AFTER,VOLA_PRIOR,VIX,SIZE,BTM,SUE,INDUSTRY
41.txt,0.393086964,1.711754369,13.4,918.8131099999999,0.904026725,3.45189,10
42.txt,1.309666928,0.657118158,13.85,1960.2982399999999,1.16013735,5.89579,8
43.txt,3.366463637,3.6841303119999997,16.96,3278.87275,0.611830895,1.93935,10
44.txt,4.202388667,1.618276076,14.71,752.3373,0.446258782,1.20765,3
45.txt,0.6856595809999999,4.131307057,62.98,10054.261,0.657770553,1.6122,8
46.txt,4.651110297,5.552837629,16.11,5447.9349,1.1605743290000001,10.15429,3
47.txt,0.7890785140000001,2.596483099,20.88,2253.79178,0.592851473,15.30277,12
48.txt,0.806480722,3.144058766,22.94,1075.21524,0.462243763,1.6959,3
49.txt,0.593727025,1.541724303,18.97,256964.9985,0.125313747,1.77555,3
50.txt,2.287141693,2.990914385,23.05,880.70035,0.420301175,1.18471,6
51.txt,2.216104694,4.629617001000001,27.78,684.1008,0.508198885,2.3094,6
52.txt,0.407722673,1.389270887,37.15,2447.39493,0.628945276,2.09655,4
53.txt,1.9910669069999998,2.9444329710000003,16.08,8357.77818,0.32494535,3.53557,11
54.txt,1.024881009,1.117610269,18.03,7681.99329,0.469692612,1.63011,4
55.txt,0.621244672,2.3337309680000002,18.05,945.0404,1.117028291,3.75379,6
56.txt,1.610487019,1.814202423,12.84,921.7788,0.42262723399999996,2.36553,3
57.txt,2.210169336,2.147619422,16.64,64.07531999999999,0.014650489,3.82324,3
58.txt,4.827962415,4.978376887,19.64,10734.38763,0.73466542,6.3901,12
59.txt,1.100542433,1.390359219,12.24,202.10532,0.383182719,0.44721000000000005,12
60.txt,3.486846859,1.87778442,25.12,391.17715,0.35431313299999995,3.53557,3
61.txt,4.2384763880000005,1.9100068590000001,12.9,8738.28045,0.13655630300000002,4.170319999999999,4
62.txt,2.534884345,0.871749908,21.21,123.6466,0.160217406,4.49143,4
63.txt,2.304792725,1.114057512,29.26,2671.7838,0.566846222,3.87089,11
64.txt,5.434283195,2.067582509,20.77,445.64331,0.449787955,0.15061,3
65.txt,1.130805968,4.175464081,10.85,3116.7081,0.6866550440000001,3.1219,9
66.txt,2.24247958,0.8719296459999999,15.22,14257.8056,0.912864041,0.14142000000000002,1
67.txt,2.312035111,1.266294125,37.15,591.83397,0.526234739,6.2077800000000005,11
68.txt,5.930198857000001,4.923856031000001,14.93,49433.67,1.031689149,0.01514,11
69.txt,4.578914867,1.479759003,11.45,628.5371,0.755005493,2.2096400000000003,9
70.txt,5.468394557000001,4.549132932,11.81,423.4224,0.468494525,0.26584,1
71.txt,2.7475963169999997,1.567891142,12.51,705.87475,0.121972396,0.96695,12
72.txt,5.257138757,2.364926797,15.7,45.0708,0.473112374,5.47745,4
73.txt,0.672635588,1.195168305,26.09,178.14466000000002,0.773101632,1.4702,6
74.txt,0.852792159,2.603140677,35.45,298.3828,1.3140228379999999,0.36288000000000004,3
75.txt,2.898828487,2.867891308,15.6,5627.603520000001,0.526976887,3.17543,12
76.txt,0.245680998,3.0098934980000003,15.15,11282.89334,0.716674749,0.9450799999999999,1
77.txt,7.71445691,1.776308683,15.13,1058.48208,0.641136336,2.35005,6
78.txt,2.569292126,3.198960507,18.94,110.038,0.16075646300000002,0.25689,12
79.txt,3.941035608,3.7096362760000003,21.21,50946.54073,0.7867514520000001,2.3092,9
80.txt,8.249620084,1.246796708,16.55,201.16616000000002,0.292354392,1.11189,12
81.txt,1.4933908580000002,1.669780033,13.33,168.88206,0.339403865,4.04631,1
82.txt,8.593497347000001,0.653082835,32.74,4180.47528,0.303484315,11.28866,12
83.txt,3.651173459,1.499483726,14.55,876.65285,0.353328739,4.5,12
84.txt,0.793853625,2.394195619,12.85,237.58024,0.5564308179999999,6.436,8
85.txt,1.636608036,1.593918885,13.39,312.14302000000004,0.955822229,3.3672400000000002,10
86.txt,1.591734685,3.151697279,16.7,248.79377999999997,0.250486176,0.80033,1
87.txt,3.271675587,0.97813581,12.65,2738.53182,0.581833725,1.82243,11
88.txt,1.372878925,0.74626319,21.31,185.90528,0.517728664,2.94496,9
89.txt,1.258666242,1.289721833,12.24,778.84038,0.298194293,1.0,4
90.txt,1.1846788879999999,2.505170574,26.33,745.335,0.48233538600000003,3.8618900000000003,9
91.txt,2.991659331,2.3048646059999998,21.31,106871.0398,0.434151461,5.68379,8
92.txt,0.9679236859999999,3.929980314,13.71,265.84918,0.835005309,1.1508399999999999,12
93.txt,8.52348769,1.136266139,34.44,1288.64028,0.181232056,2.82845,6
94.txt,2.806615556,0.648568532,13.44,1724.2833600000001,0.636375268,1.50275,2
95.txt,1.706731156,2.3489364630000003,14.24,88662.48578999999,0.514030436,5.4333800000000005,6
96.txt,1.888170926,2.292007285,9.79,3412.6272,0.144814022,3.53557,9
97.txt,1.923832385,2.709971167,10.85,4069.8091600000002,0.128691531,1.45173,11
98.txt,5.392431714,3.966171497,18.05,155.35386,0.519092766,0.68085,11
99.txt,1.40308214,1.37815579,19.26,4106.9490000000005,0.48335420799999995,2.5506900000000003,6
100.txt,2.364376544,2.9870063489999996,20.47,150.80606,0.108488888,1.3710200000000001,6
101.txt,0.917971845,1.570212691,17.65,1680.1557,0.398602759,2.3094,3
102.txt,5.524101712,3.070628831,22.21,2006.17132,0.570042605,1.6621400000000002,12
